Unnamed: 0,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Population Rank,Percentage,Internet Rank,percentage_non_religious,clusterId
25,26.0,6.441,1.365,1.436,0.857,0.418,0.151,0.078,23626.456,33.0,92.78,21.0,0.0,0
26,27.0,6.43,1.112,1.438,0.759,0.597,0.125,0.063,4098.587,110.0,57.87,106.0,2.0,0
27,28.0,6.419,0.986,1.474,0.675,0.493,0.11,0.088,209288.278,4.0,67.47,83.0,7.6,0
28,29.0,6.388,1.073,1.468,0.744,0.57,0.062,0.054,44271.041,23.0,75.81,67.0,1.19,0
29,30.0,6.382,0.781,1.268,0.608,0.604,0.179,0.071,16913.503,68.0,40.7,137.0,1.9,0
30,31.0,6.379,1.093,1.459,0.771,0.625,0.13,0.155,3456.75,112.0,68.28,82.0,17.0,0
31,32.0,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2639.211,107.0,95.94,13.0,0.0,1
32,33.0,6.371,1.379,1.331,0.633,0.509,0.098,0.127,32938.213,29.0,82.12,39.0,0.0,0
33,34.0,6.343,1.529,1.451,1.008,0.631,0.261,0.457,5708.844,84.0,84.45,35.0,13.0,1
34,35.0,6.322,1.161,1.258,0.669,0.356,0.311,0.059,31624.264,30.0,80.14,52.0,0.8,0
35,36.0,6.31,1.251,1.538,0.965,0.449,0.142,0.074,46354.321,19.0,84.6,33.0,30.0,1
36,37.0,6.26,0.96,1.439,0.635,0.531,0.099,0.039,49065.615,26.0,62.26,96.0,2.0,0
37,38.0,6.192,1.223,1.492,0.564,0.575,0.171,0.019,1369.125,134.0,77.33,59.0,3.3,0
38,39.0,6.173,1.21,1.537,0.776,0.354,0.118,0.014,5447.662,90.0,81.63,42.0,15.8,0
39,40.0,6.167,0.806,1.231,0.639,0.461,0.065,0.082,6377.853,119.0,31.25,152.0,1.0,0
40,41.0,6.141,0.668,1.319,0.7,0.527,0.208,0.128,6217.581,122.0,27.86,159.0,2.0,0
41,42.0,6.123,1.176,1.448,0.781,0.546,0.108,0.064,38170.712,28.0,75.99,66.0,3.0,0
42,43.0,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1492.584,128.0,95.88,14.0,0.0,0
43,44.0,6.096,0.719,1.584,0.605,0.724,0.328,0.259,31910.641,39.0,52.31,118.0,1.2,1
44,45.0,6.083,1.474,1.301,0.675,0.554,0.167,0.106,4136.528,95.0,98.0,5.0,0.07,0
45,46.0,6.072,1.016,1.417,0.707,0.637,0.364,0.029,69037.513,20.0,52.89,117.0,0.0,0
46,47.0,6.0,1.264,1.501,0.946,0.281,0.137,0.028,59359.9,21.0,61.3,98.0,20.5,0
